SN,2010,2012,2014
1048,9800,6600,4200
1049,9800,6600,4200
1050,9800,6600,4200
1051,9800,6600,4200
1052,9800,6600,4200
1053,9800,6600,4200
1054,9800,6600,4200
1055,9800,6557,4200
1056,9800,6557,4200
1057,9800,6550,4200
1058,9800,6500,4200
1059,9800,6500,4200
1060,9800,6500,4200
1061,9800,6500,4200
1062,9800,6500,4200
1063,9800,6500,4200
1064,9800,6500,4200
1065,9800,6500,4200
1066,9800,6500,4200
1067,9800,6500,4200
1068,9800,6500,4200
1069,9800,6500,4200
1070,9800,6500,4200
1071,9800,6500,4200
1072,9700,6500,4200
1073,9700,6500,4200
1074,9700,6500,4200
1075,9700,6500,4200
1076,9700,6500,4200
1077,9700,6500,4200
1078,9700,6500,4200
1079,9700,6500,4200
1080,9700,6500,4200
1081,9700,6500,4200
1082,9700,6500,4200
1083,9700,6500,4200
1084,9700,6500,4200
1085,9700,6500,4200
1086,9700,6500,4200
1087,9700,6500,4200
1088,9700,6500,4200
1089,9700,6500,4200
1090,9700,6500,4200
1091,9700,6500,4200
1092,9700,6500,4200
1093,9700,6500,4200
1094,9700,6500,4200
1095,9700,6500,4200
1096,9700,6400,4200
1097,9700,6400,4200
1098,9700,6400,4200
1099,9700,6400,4200
1100,9700,6400,4200
1101,9700,6400,4200
1102,9700,6400,4200
1103,9700,6400,4200
1104,9700,6400,4200
1105,9700,6400,4200
1106,9700,6400,4200
1107,9700,6400,4200
1108,9600,6400,4200
1109,9600,6400,4200
1110,9600,6400,4200
1111,9600,6400,4200
1112,9600,6400,4200
1113,9600,6400,4200
1114,9600,6400,4200
1115,9600,6400,4200
1116,9600,6400,4100
1117,9600,6400,4100
1118,9600,6400,4100
1119,9600,6400,4100
1120,9600,6400,4100
1121,9600,6400,4100
1122,9600,6400,4100
1123,9600,6400,4100
1124,9600,6400,4100
1125,9600,6400,4100
1126,9600,6400,4000
1127,9600,6400,4000
1128,9600,6400,4000
1129,9600,6400,4000
1130,9600,6400,4000
1131,9600,6400,4000
1132,9600,6400,4000
1133,9600,6400,4000
1134,9600,6400,4000
1135,9600,6400,4000
1136,9600,6345,4000
1137,9600,6345,4000
1138,9600,6300,4000
1139,9600,6300,4000
1140,9600,6300,4000
1141,9500,6300,4000
1142,9500,6300,4000
1143,9500,6300,4000
1144,9500,6300,4000
1145,9500,6300,4000
1146,9500,6300,4000
1147,9500,6300,4000
1148,9500,6300,4000
1149,9500,6300,4000
1150,9500,6300,4000
1151,9500,6300,4000
1152,9500,6300,4000
1153,9500,6300,4000
1154,9500,6300,4000
1155,9500,6300,4000
1156,9500,6300,4000
1157,9500,6300,4000
1158,9500,6300,4000
1159,9500,6300,4000
1160,9500,6300,4000
1161,9500,6300,4000
1162,9500,6300,4000
1163,9500,6300,4000
1164,9500,6300,4000
1165,9500,6300,4000
1166,9500,6300,4000
1167,9500,6300,4000
1168,9500,6300,4000
1169,9500,6300,4000
1170,9500,6300,4000
1171,9500,6300,4000
1172,9500,6300,4000
1173,9500,6300,4000
1174,9500,6300,4000
1175,9500,6300,4000
1176,9400,6300,4000
1177,9400,6300,4000
1178,9400,6300,4000
1179,9400,6300,4000
1180,9400,6300,4000
1181,9400,6300,4000
1182,9400,6300,4000
1183,9400,6300,4000
1184,9400,6300,4000
1185,9400,6300,4000
1186,9400,6300,4000
1187,9400,6300,4000
1188,9400,6300,4000
1189,9400,6300,4000
1190,9400,6300,4000
1191,9400,6250,4000
1192,9400,6200,4000
1193,9400,6200,4000
1194,9400,6200,4000
1195,9400,6200,4000
1196,9400,6200,4000
1197,9400,6200,4000
1198,9400,6200,4000
1199,9400,6200,4000
1200,9400,6200,4000
1201,9400,6200,4000
1202,9400,6200,4000
1203,9400,6200,4000
1204,9400,6200,4000
1205,9400,6200,4000
1206,9400,6200,3900
1207,9400,6200,3900
1208,9400,6200,3900
1209,9300,6200,3900
1210,9300,6200,3900
1211,9300,6200,3800
1212,9300,6200,3800
1213,9300,6200,3800
1214,9300,6200,3800
1215,9300,6200,3800
1216,9300,6200,3800
1217,9300,6200,3800
1218,9300,6200,3800
1219,9300,6200,3800
1220,9300,6200,3800
1221,9300,6200,3800
1222,9300,6200,3800
1223,9300,6200,3800
1224,9300,6200,3800
1225,9300,6200,3800
1226,9300,6200,3800
1227,9300,6200,3800
1228,9300,6200,3800
1229,9300,6200,3800
1230,9300,6200,3800
1231,9300,6200,3800
1232,9300,6200,3800
1233,9300,6200,3800
1234,9300,6200,3800
1235,9300,6200,3800
1236,9300,6200,3800
1237,9300,6200,3800
1238,9300,6200,3800
1239,9300,6200,3800
1240,9300,6200,3800
1241,9300,6200,3800
1242,9300,6200,3800
1243,9300,6200,3800
1244,9300,6170,3800
